Title,Description,line,line_numbers,indentation,indentation_levels,Parents,Children,instantiations,No_Parent,No_Children,parent_instantiations,Generate_Positive_Instantiation_Questions,Generate_Negative_Instantiation_Questions
Problems_With_Proxies,Optimizing for proxy objectives breaks correlations with intended goals.,10,[10],16,[16],[],['Difficulty_Of_Alignment'],"['problems_with_proxies_TRUE', 'problems_with_proxies_FALSE']",True,False,[],"{""What is the probability for Problems_With_Proxies=problems_with_proxies_TRUE?"": ""prior""}","{""What is the probability for Problems_With_Proxies=problems_with_proxies_FALSE?"": ""prior""}"
Problems_With_Search,Search processes can yield systems pursuing different objectives than intended.,11,[11],16,[16],[],['Difficulty_Of_Alignment'],"['problems_with_search_TRUE', 'problems_with_search_FALSE']",True,False,[],"{""What is the probability for Problems_With_Search=problems_with_search_TRUE?"": ""prior""}","{""What is the probability for Problems_With_Search=problems_with_search_FALSE?"": ""prior""}"
Deployment_Decisions,Decisions to deploy potentially misaligned AI systems.,12,[12],12,[12],"['Incentives_To_Build_APS', 'Deception_By_AI']",['Misaligned_Power_Seeking'],"['deployment_decisions_DEPLOY', 'deployment_decisions_WITHHOLD']",False,False,"[['incentives_to_build_aps_STRONG', 'incentives_to_build_aps_WEAK'], ['deception_by_ai_TRUE', 'deception_by_ai_FALSE']]","{""What is the probability for Deployment_Decisions=deployment_decisions_DEPLOY?"": ""prior"", ""What is the probability for Deployment_Decisions=deployment_decisions_DEPLOY if Incentives_To_Build_APS=incentives_to_build_aps_STRONG, Deception_By_AI=deception_by_ai_TRUE?"": ""estimate_1"", ""What is the probability for Deployment_Decisions=deployment_decisions_DEPLOY if Incentives_To_Build_APS=incentives_to_build_aps_STRONG, Deception_By_AI=deception_by_ai_FALSE?"": ""estimate_2"", ""What is the probability for Deployment_Decisions=deployment_decisions_DEPLOY if Incentives_To_Build_APS=incentives_to_build_aps_WEAK, Deception_By_AI=deception_by_ai_TRUE?"": ""estimate_3"", ""What is the probability for Deployment_Decisions=deployment_decisions_DEPLOY if Incentives_To_Build_APS=incentives_to_build_aps_WEAK, Deception_By_AI=deception_by_ai_FALSE?"": ""estimate_4""}","{""What is the probability for Deployment_Decisions=deployment_decisions_WITHHOLD?"": ""prior"", ""What is the probability for Deployment_Decisions=deployment_decisions_WITHHOLD if Incentives_To_Build_APS=incentives_to_build_aps_STRONG, Deception_By_AI=deception_by_ai_TRUE?"": ""estimate_1"", ""What is the probability for Deployment_Decisions=deployment_decisions_WITHHOLD if Incentives_To_Build_APS=incentives_to_build_aps_STRONG, Deception_By_AI=deception_by_ai_FALSE?"": ""estimate_2"", ""What is the probability for Deployment_Decisions=deployment_decisions_WITHHOLD if Incentives_To_Build_APS=incentives_to_build_aps_WEAK, Deception_By_AI=deception_by_ai_TRUE?"": ""estimate_3"", ""What is the probability for Deployment_Decisions=deployment_decisions_WITHHOLD if Incentives_To_Build_APS=incentives_to_build_aps_WEAK, Deception_By_AI=deception_by_ai_FALSE?"": ""estimate_4""}"
Incentives_To_Build_APS,Strong incentives to build and deploy APS systems.,13,[13],16,[16],"['Usefulness_Of_APS', 'Competitive_Dynamics']",['Deployment_Decisions'],"['incentives_to_build_aps_STRONG', 'incentives_to_build_aps_WEAK']",False,False,"[['usefulness_of_aps_HIGH', 'usefulness_of_aps_LOW'], ['competitive_dynamics_STRONG', 'competitive_dynamics_WEAK']]","{""What is the probability for Incentives_To_Build_APS=incentives_to_build_aps_STRONG?"": ""prior"", ""What is the probability for Incentives_To_Build_APS=incentives_to_build_aps_STRONG if Usefulness_Of_APS=usefulness_of_aps_HIGH, Competitive_Dynamics=competitive_dynamics_STRONG?"": ""estimate_1"", ""What is the probability for Incentives_To_Build_APS=incentives_to_build_aps_STRONG if Usefulness_Of_APS=usefulness_of_aps_HIGH, Competitive_Dynamics=competitive_dynamics_WEAK?"": ""estimate_2"", ""What is the probability for Incentives_To_Build_APS=incentives_to_build_aps_STRONG if Usefulness_Of_APS=usefulness_of_aps_LOW, Competitive_Dynamics=competitive_dynamics_STRONG?"": ""estimate_3"", ""What is the probability for Incentives_To_Build_APS=incentives_to_build_aps_STRONG if Usefulness_Of_APS=usefulness_of_aps_LOW, Competitive_Dynamics=competitive_dynamics_WEAK?"": ""estimate_4""}","{""What is the probability for Incentives_To_Build_APS=incentives_to_build_aps_WEAK?"": ""prior"", ""What is the probability for Incentives_To_Build_APS=incentives_to_build_aps_WEAK if Usefulness_Of_APS=usefulness_of_aps_HIGH, Competitive_Dynamics=competitive_dynamics_STRONG?"": ""estimate_1"", ""What is the probability for Incentives_To_Build_APS=incentives_to_build_aps_WEAK if Usefulness_Of_APS=usefulness_of_aps_HIGH, Competitive_Dynamics=competitive_dynamics_WEAK?"": ""estimate_2"", ""What is the probability for Incentives_To_Build_APS=incentives_to_build_aps_WEAK if Usefulness_Of_APS=usefulness_of_aps_LOW, Competitive_Dynamics=competitive_dynamics_STRONG?"": ""estimate_3"", ""What is the probability for Incentives_To_Build_APS=incentives_to_build_aps_WEAK if Usefulness_Of_APS=usefulness_of_aps_LOW, Competitive_Dynamics=competitive_dynamics_WEAK?"": ""estimate_4""}"
Usefulness_Of_APS,APS systems are very useful for many valuable tasks.,14,[14],20,[20],[],['Incentives_To_Build_APS'],"['usefulness_of_aps_HIGH', 'usefulness_of_aps_LOW']",True,False,[],"{""What is the probability for Usefulness_Of_APS=usefulness_of_aps_HIGH?"": ""prior""}","{""What is the probability for Usefulness_Of_APS=usefulness_of_aps_LOW?"": ""prior""}"
Competitive_Dynamics,Competitive pressures between AI developers.,15,[15],20,[20],[],['Incentives_To_Build_APS'],"['competitive_dynamics_STRONG', 'competitive_dynamics_WEAK']",True,False,[],"{""What is the probability for Competitive_Dynamics=competitive_dynamics_STRONG?"": ""prior""}","{""What is the probability for Competitive_Dynamics=competitive_dynamics_WEAK?"": ""prior""}"
Deception_By_AI,AI systems deceiving humans about their true objectives.,16,[16],16,[16],[],['Deployment_Decisions'],"['deception_by_ai_TRUE', 'deception_by_ai_FALSE']",True,False,[],"{""What is the probability for Deception_By_AI=deception_by_ai_TRUE?"": ""prior""}","{""What is the probability for Deception_By_AI=deception_by_ai_FALSE?"": ""prior""}"
Corrective_Feedback,Human society implementing corrections after observing problems.,17,[17],8,[8],"['Warning_Shots', 'Rapid_Capability_Escalation']",['Scale_Of_Power_Seeking'],"['corrective_feedback_EFFECTIVE', 'corrective_feedback_INEFFECTIVE']",False,False,"[['warning_shots_OBSERVED', 'warning_shots_UNOBSERVED'], ['rapid_capability_escalation_TRUE', 'rapid_capability_escalation_FALSE']]","{""What is the probability for Corrective_Feedback=corrective_feedback_EFFECTIVE?"": ""prior"", ""What is the probability for Corrective_Feedback=corrective_feedback_EFFECTIVE if Warning_Shots=warning_shots_OBSERVED, Rapid_Capability_Escalation=rapid_capability_escalation_TRUE?"": ""estimate_1"", ""What is the probability for Corrective_Feedback=corrective_feedback_EFFECTIVE if Warning_Shots=warning_shots_OBSERVED, Rapid_Capability_Escalation=rapid_capability_escalation_FALSE?"": ""estimate_2"", ""What is the probability for Corrective_Feedback=corrective_feedback_EFFECTIVE if Warning_Shots=warning_shots_UNOBSERVED, Rapid_Capability_Escalation=rapid_capability_escalation_TRUE?"": ""estimate_3"", ""What is the probability for Corrective_Feedback=corrective_feedback_EFFECTIVE if Warning_Shots=warning_shots_UNOBSERVED, Rapid_Capability_Escalation=rapid_capability_escalation_FALSE?"": ""estimate_4""}","{""What is the probability for Corrective_Feedback=corrective_feedback_INEFFECTIVE?"": ""prior"", ""What is the probability for Corrective_Feedback=corrective_feedback_INEFFECTIVE if Warning_Shots=warning_shots_OBSERVED, Rapid_Capability_Escalation=rapid_capability_escalation_TRUE?"": ""estimate_1"", ""What is the probability for Corrective_Feedback=corrective_feedback_INEFFECTIVE if Warning_Shots=warning_shots_OBSERVED, Rapid_Capability_Escalation=rapid_capability_escalation_FALSE?"": ""estimate_2"", ""What is the probability for Corrective_Feedback=corrective_feedback_INEFFECTIVE if Warning_Shots=warning_shots_UNOBSERVED, Rapid_Capability_Escalation=rapid_capability_escalation_TRUE?"": ""estimate_3"", ""What is the probability for Corrective_Feedback=corrective_feedback_INEFFECTIVE if Warning_Shots=warning_shots_UNOBSERVED, Rapid_Capability_Escalation=rapid_capability_escalation_FALSE?"": ""estimate_4""}"
Warning_Shots,Observable failures in weaker systems before catastrophic risks.,18,[18],12,[12],[],['Corrective_Feedback'],"['warning_shots_OBSERVED', 'warning_shots_UNOBSERVED']",True,False,[],"{""What is the probability for Warning_Shots=warning_shots_OBSERVED?"": ""prior""}","{""What is the probability for Warning_Shots=warning_shots_UNOBSERVED?"": ""prior""}"
Rapid_Capability_Escalation,"AI capabilities escalating very rapidly, allowing little time for correction.",19,[19],12,[12],[],['Corrective_Feedback'],"['rapid_capability_escalation_TRUE', 'rapid_capability_escalation_FALSE']",True,False,[],"{""What is the probability for Rapid_Capability_Escalation=rapid_capability_escalation_TRUE?"": ""prior""}","{""What is the probability for Rapid_Capability_Escalation=rapid_capability_escalation_FALSE?"": ""prior""}"
